City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
Khuzhir,53.19,107.34,51.49,62,4,8.3,RU,1592459211
Lorengau,-2.02,147.27,85.51,72,9,10.56,PG,1592459112
Puerto Ayacucho,5.66,-67.62,74.62,93,100,4.27,VE,1592459211
Sibolga,1.74,98.78,79.75,76,96,5.88,ID,1592459123
Bathsheba,13.22,-59.52,80.6,78,20,11.41,BB,1592459113
Timiryazevskiy,56.49,84.88,64.4,63,20,4.56,RU,1592459211
Itoman,26.12,127.67,87.8,79,75,12.75,JP,1592458850
Souillac,-20.52,57.52,71.6,78,75,18.34,MU,1592459110
Dwārka,22.24,68.97,88.81,68,37,9.44,IN,1592458879
Mbandaka,0.05,18.26,71.26,67,84,0.54,CD,1592459212
Saint-Louis,16.33,-15.0,83.97,42,0,10.58,SN,1592459212
São João da Barra,-21.64,-41.05,67.86,75,14,5.28,BR,1592458810
Basoko,1.24,23.62,76.26,79,79,0.51,CD,1592459212
Krutaya Gorka,55.36,73.22,55.4,71,75,15.66,RU,1592459212
Joshīmath,30.57,79.57,79.29,29,6,8.01,IN,1592459212
Zapolyarnyy,69.42,30.81,51.8,66,38,4.7,RU,1592459212
Dawlatabad,36.41,64.91,88.29,12,0,8.48,AF,1592459212
Saint-Philippe,-21.36,55.77,70.0,77,93,24.16,RE,1592459093
Marabu,4.41,114.01,87.8,70,75,11.41,MY,1592459212
Farmington,36.73,-108.22,71.6,12,1,9.17,US,1592459212
Gornopravdinsk,60.05,69.9,55.2,42,55,9.78,RU,1592459213
Quechultenango,17.42,-99.22,71.31,84,16,2.57,MX,1592459213
Skjervøy,70.03,20.97,51.8,76,40,2.24,NO,1592459213
Bumbuna,9.05,-11.73,71.22,96,92,3.94,SL,1592459213
Pelotas,-31.77,-52.34,62.01,91,88,9.1,BR,1592459213
San Ramon,37.78,-121.98,72.0,28,1,4.21,US,1592459100
Mulegé,26.88,-111.98,82.71,37,2,2.35,MX,1592459103
Takoradze,4.88,-1.76,76.64,87,87,11.43,GH,1592459213
Mount Gambier,-37.83,140.77,59.0,62,40,17.22,AU,1592459109
Donceel,50.65,5.32,60.01,93,20,9.17,BE,1592459213
Bandarbeyla,9.49,50.81,87.51,49,94,32.26,SO,1592459213
Nishihara,26.18,127.76,87.8,74,75,19.46,JP,1592459214
Laja,-37.27,-72.7,55.4,93,100,23.04,CL,1592459214
Sandnessjøen,66.02,12.63,60.01,72,55,11.41,NO,1592459005
Alta,69.97,23.27,55.4,62,16,4.7,NO,1592459214
Cairo,30.06,31.25,73.4,69,40,10.29,EG,1592458716
Bang Saphan,11.21,99.51,89.6,70,20,6.93,TH,1592459214
Namatanai,-3.67,152.43,83.98,72,11,8.68,PG,1592459214
Tuktoyaktuk,69.45,-133.04,48.2,93,40,8.05,CA,1592459101
Rhodes,36.44,28.22,73.99,88,20,11.41,GR,1592459214
Sept-Îles,50.2,-66.38,66.2,77,75,3.36,CA,1592458922
Kumul,42.8,93.45,97.5,9,64,7.58,CN,1592459214
Bengkulu,-3.8,102.27,84.74,67,41,7.14,ID,1592459097
Menongue,-14.66,17.69,46.92,73,0,6.35,AO,1592459130
Bubaque,11.28,-15.83,80.53,85,78,11.52,GW,1592459215
Diffa,13.32,12.61,83.59,52,83,10.27,NE,1592459215
Umaria,23.53,80.83,93.4,49,64,15.9,IN,1592459215
Ciudad Bolivar,8.12,-63.55,78.78,80,97,10.09,VE,1592459215
Yilan,24.76,121.75,96.8,53,75,11.41,TW,1592459003
Yarmouth,41.71,-70.23,62.6,93,40,3.36,US,1592458968
Thunder Bay,48.4,-89.32,55.99,93,5,6.93,CA,1592458951
Jalu,29.03,21.55,74.03,46,0,0.81,LY,1592459215
Yamada,39.47,141.95,72.32,60,4,9.8,JP,1592459215
Anloga,5.79,0.9,78.8,88,75,10.29,GH,1592459215
Arona,28.1,-16.68,71.6,83,40,8.05,ES,1592459216
Comodoro Rivadavia,-45.87,-67.5,46.4,70,36,3.36,AR,1592459101
Huron,41.15,-82.55,64.0,77,99,4.03,US,1592459216
Coquimbo,-29.95,-71.34,50.0,87,45,3.36,CL,1592459216
Ibaiti,-23.85,-50.19,59.0,99,97,1.99,BR,1592459216
Kavaratti,10.57,72.64,87.8,74,90,9.17,IN,1592459090
Cherskiy,68.75,161.3,79.65,27,48,10.56,RU,1592459098
Pangai,-19.8,-174.35,75.2,69,20,18.34,TO,1592459113
Sri Aman,1.24,111.46,86.0,74,75,3.36,MY,1592459115
Sabang,5.89,95.32,84.15,71,93,3.62,ID,1592459084
Jasper,37.2,-94.35,75.2,69,1,10.29,US,1592459216
Tara,56.89,74.37,52.92,69,100,11.39,RU,1592459217
Nuuk,64.18,-51.72,36.57,83,87,6.69,GL,1592459131
Puerto Escondido,15.85,-97.07,81.55,76,97,3.33,MX,1592459106
Rocha,-34.48,-54.33,69.82,76,100,17.63,UY,1592459118
Omboué,-1.57,9.26,71.96,92,77,3.11,GA,1592459217
Esna,25.29,32.55,87.8,48,0,9.17,EG,1592459217
Manokwari,-0.87,134.08,84.47,70,17,8.25,ID,1592459011
Shumyachi,53.86,32.42,71.98,76,1,8.57,RU,1592459217
Krasnosel'kup,65.7,82.47,52.93,42,100,10.56,RU,1592459217
Warrington,53.39,-2.58,59.0,93,92,10.29,GB,1592459217
Canto do Buriti,-8.11,-42.94,69.04,63,24,8.08,BR,1592459217
Laguna,38.42,-121.42,72.0,40,1,6.93,US,1592459107
Eirunepé,-6.66,-69.87,72.21,83,24,1.03,BR,1592459217
Belyy Yar,53.6,91.39,75.2,47,39,4.47,RU,1592459218
Kloulklubed,7.04,134.26,84.2,79,75,12.75,PW,1592459218
Marzuq,14.4,46.47,91.92,14,29,3.4,YE,1592459218
Lábrea,-7.26,-64.8,73.8,77,68,1.97,BR,1592459218
Saint Paul Harbor,57.79,-152.41,50.0,87,90,11.41,US,1592459089
Laredo,27.51,-99.51,82.4,74,1,17.22,US,1592459218
Manadhoo,5.77,73.38,84.38,78,51,10.87,MV,1592459218
Mount Isa,-20.73,139.5,80.6,34,40,10.29,AU,1592459218
Fairbanks,64.84,-147.72,73.4,28,75,17.22,US,1592459038
Dhidhdhoo,6.88,73.1,84.47,79,99,13.15,MV,1592459218
Chegdomyn,51.12,133.02,68.77,33,95,0.58,RU,1592459218
Dubica,45.18,16.81,66.2,77,42,2.24,BA,1592459219
Emerald,-23.53,148.17,77.0,38,0,11.41,AU,1592459219
Ushtobe,45.25,77.98,76.51,31,0,16.02,KZ,1592459095
Vienna,48.21,16.37,64.4,72,75,21.92,AT,1592459184
Khatanga,71.97,102.5,57.76,35,92,3.6,RU,1592459095
Anadyr,64.75,177.48,69.8,40,20,11.18,RU,1592459219
Esim,4.87,-2.24,76.66,87,96,11.72,GH,1592459219
Ust'-Ishim,57.69,71.17,58.21,38,92,12.1,RU,1592459219
Ixtapa,20.7,-105.2,79.0,81,1,0.85,MX,1592458996
Ndola,-12.96,28.64,55.29,66,0,9.64,ZM,1592459219
Port-Gentil,-0.72,8.78,73.4,94,75,6.93,GA,1592459098
Saldanha,-33.01,17.94,44.6,75,0,4.7,ZA,1592459103
Kastraki,39.72,21.62,57.99,87,0,5.35,GR,1592459219
Anking,30.51,117.05,74.64,86,98,4.16,CN,1592459219
Gushikawa,26.35,127.87,87.8,79,20,20.8,JP,1592459220
Narrabri,-30.32,149.78,66.99,52,90,11.41,AU,1592459220
Torbay,47.67,-52.73,57.99,67,90,20.8,CA,1592459109
Little Current,45.98,-81.92,55.17,67,0,2.73,CA,1592459220
Buritama,-21.07,-50.15,66.07,69,65,10.94,BR,1592459220
Wewak,-3.55,143.63,83.68,74,5,7.78,PG,1592459108
Rio Grande,-32.03,-52.1,63.0,91,91,4.0,BR,1592458834
Olafsvik,64.89,-23.71,47.95,77,100,17.69,IS,1592459220
Atar,20.52,-13.05,89.04,27,0,12.46,MR,1592459220
Mamit,23.93,92.48,82.4,78,75,11.41,IN,1592459220
Juneau,58.3,-134.42,53.6,93,90,3.51,US,1592458934
Port Hardy,50.7,-127.42,55.4,82,75,3.36,CA,1592459220
Smirnykh,49.75,142.83,48.2,91,100,2.75,RU,1592459220
Teya,60.38,92.63,73.29,28,0,10.56,RU,1592459129
Jacareacanga,-6.22,-57.75,71.8,82,72,0.63,BR,1592459221
Imeni Zhelyabova,58.95,36.6,70.39,70,5,5.68,RU,1592459221
Tiznit Province,29.58,-9.5,61.74,69,11,0.87,MA,1592459084
Buchanan,5.88,-10.05,73.4,94,75,9.46,LR,1592459221
Kununurra,-15.77,128.73,87.8,26,0,10.29,AU,1592459096
Brigham City,41.51,-112.02,48.2,76,1,4.18,US,1592459221
Haines Junction,60.75,-137.51,52.25,65,94,4.27,CA,1592459090
Codrington,-38.27,141.97,57.0,72,91,10.29,AU,1592459103
Azuaga,38.27,-5.68,54.0,74,0,4.0,ES,1592459221
Lüderitz,-26.65,15.16,69.15,24,0,23.82,NA,1592459111
Wenling,28.37,121.36,88.0,37,98,15.03,CN,1592459221
Eilenburg,51.46,12.63,66.99,82,76,9.17,DE,1592459221
Korla,41.76,86.15,90.46,13,69,4.32,CN,1592459127
Huangyan,28.65,121.26,102.99,47,93,4.0,CN,1592459222
Leningradskiy,69.38,178.42,50.09,50,100,7.83,RU,1592459111
Tema,5.67,-0.02,78.8,94,75,6.93,GH,1592459222
Salalah,17.02,54.09,87.8,74,75,5.82,OM,1592459099
Samarai,-10.62,150.67,79.68,83,78,19.57,PG,1592459222
Piranhas,-16.43,-51.82,63.64,73,1,2.89,BR,1592459222
Yumen,40.28,97.2,91.09,10,98,10.94,CN,1592459114
Prainha,-1.8,-53.48,73.87,92,64,1.25,BR,1592459112
Luebo,-5.35,21.42,64.58,47,25,1.83,CD,1592459222
Beavercreek,39.71,-84.06,66.2,68,40,4.18,US,1592459222
Bonanza,14.03,-84.59,72.48,97,99,1.63,NI,1592459223
Isangel,-19.55,169.27,73.45,72,9,10.27,VU,1592459101
Praia da Vitória,38.73,-27.07,62.6,88,75,7.14,PT,1592459223
Nara,34.69,135.8,72.0,83,75,3.36,JP,1592458991
Grandview,38.89,-94.53,75.99,78,1,11.41,US,1592458992
Shumskiy,54.83,99.13,72.66,44,0,9.4,RU,1592459223
Ishigaki,24.34,124.16,89.6,79,75,20.8,JP,1592459104
Ossora,59.24,163.07,60.84,59,49,5.35,RU,1592459223
Coroico,-16.19,-67.73,37.4,32,29,4.7,BO,1592459223
Koāth,25.32,84.27,82.38,75,100,7.78,IN,1592459223
Kiryat Gat,31.61,34.76,78.01,64,0,4.0,IL,1592459223
Verkhnevilyuysk,63.45,120.32,68.77,63,79,8.19,RU,1592459095
Myitkyina,25.38,97.4,78.13,94,100,1.45,MM,1592459113
Sterlibashevo,53.44,55.26,62.96,60,1,12.64,RU,1592459223
Yemtsa,63.07,40.33,63.43,39,0,3.65,RU,1592459224
Xingyi,24.19,102.82,75.13,77,93,4.97,CN,1592459224
Bambous Virieux,-20.34,57.76,73.0,78,75,18.34,MU,1592459094
Tapah,4.2,101.26,87.8,70,40,2.24,MY,1592459224
Zarechnyy,53.2,45.19,73.99,41,0,7.49,RU,1592459224
Kanye,-24.97,25.33,42.51,88,4,8.01,BW,1592459224
Baghdad,33.34,44.4,91.4,31,0,19.46,IQ,1592458985
Taoudenni,22.68,-3.98,93.29,20,0,17.47,ML,1592459089
Alofi,-19.06,-169.92,71.6,73,1,9.17,NU,1592459092
Turukhansk,65.82,87.98,42.71,91,100,12.95,RU,1592459224
Anito,12.45,125.29,87.28,68,89,8.48,PH,1592459224
Lompoc,34.64,-120.46,55.4,87,0,5.82,US,1592459093
Lana,46.61,11.16,60.8,87,75,2.24,IT,1592459225
Port Lincoln,-34.73,135.87,64.33,49,100,16.51,AU,1592459017
Kimbe,-5.55,150.14,87.04,65,13,6.44,PG,1592459121
Los Pozos,8.45,-62.73,77.0,90,94,6.08,VE,1592459225
Bataiporã,-22.3,-53.27,66.42,73,99,9.13,BR,1592459225
Fortuna,40.6,-124.16,54.0,87,1,3.74,US,1592459010
Otavi,-19.65,17.33,50.05,55,0,9.89,NA,1592459225
Fukuechō,32.69,128.84,75.2,100,75,14.99,JP,1592459225
Usinsk,65.99,57.53,42.58,64,100,13.35,RU,1592459225
Topolëvo,48.5,135.2,60.8,59,75,13.42,RU,1592459225
Barranca,-10.75,-77.77,62.53,83,82,4.7,PE,1592459226
Sinop Province,41.77,34.87,71.6,88,75,1.12,TR,1592459168
